emoji,desc,unicode
💇🏿‍♂️,Taglio Di Capelli Per Uomo Carnagione Scura,U+1F487 U+1F3FF U+200D U+2642 U+FE0F
💇‍♀️,Taglio Di Capelli Per Donna,U+1F487 U+200D U+2640 U+FE0F
💇🏻‍♀️,Taglio Di Capelli Per Donna Carnagione Chiara,U+1F487 U+1F3FB U+200D U+2640 U+FE0F
💇🏼‍♀️,Taglio Di Capelli Per Donna Carnagione Abbastanza Chiara,U+1F487 U+1F3FC U+200D U+2640 U+FE0F
💇🏽‍♀️,Taglio Di Capelli Per Donna Carnagione Olivastra,U+1F487 U+1F3FD U+200D U+2640 U+FE0F
💇🏾‍♀️,Taglio Di Capelli Per Donna Carnagione Abbastanza Scura,U+1F487 U+1F3FE U+200D U+2640 U+FE0F
💇🏿‍♀️,Taglio Di Capelli Per Donna Carnagione Scura,U+1F487 U+1F3FF U+200D U+2640 U+FE0F
🚶,Pedone,U+1F6B6
🚶🏻,Pedone Carnagione Chiara,U+1F6B6 U+1F3FB
🚶🏼,Pedone Carnagione Abbastanza Chiara,U+1F6B6 U+1F3FC
🚶🏽,Pedone Carnagione Olivastra,U+1F6B6 U+1F3FD
🚶🏾,Pedone Carnagione Abbastanza Scura,U+1F6B6 U+1F3FE
🚶🏿,Pedone Carnagione Scura,U+1F6B6 U+1F3FF
🚶‍♂️,Uomo Che Cammina,U+1F6B6 U+200D U+2642 U+FE0F
🚶🏻‍♂️,Uomo Che Cammina Carnagione Chiara,U+1F6B6 U+1F3FB U+200D U+2642 U+FE0F
🚶🏼‍♂️,Uomo Che Cammina Carnagione Abbastanza Chiara,U+1F6B6 U+1F3FC U+200D U+2642 U+FE0F
🚶🏽‍♂️,Uomo Che Cammina Carnagione Olivastra,U+1F6B6 U+1F3FD U+200D U+2642 U+FE0F
🚶🏾‍♂️,Uomo Che Cammina Carnagione Abbastanza Scura,U+1F6B6 U+1F3FE U+200D U+2642 U+FE0F
🚶🏿‍♂️,Uomo Che Cammina Carnagione Scura,U+1F6B6 U+1F3FF U+200D U+2642 U+FE0F
🚶‍♀️,Donna Che Cammina,U+1F6B6 U+200D U+2640 U+FE0F
🚶🏻‍♀️,Donna Che Cammina Carnagione Chiara,U+1F6B6 U+1F3FB U+200D U+2640 U+FE0F
🚶🏼‍♀️,Donna Che Cammina Carnagione Abbastanza Chiara,U+1F6B6 U+1F3FC U+200D U+2640 U+FE0F
🚶🏽‍♀️,Donna Che Cammina Carnagione Olivastra,U+1F6B6 U+1F3FD U+200D U+2640 U+FE0F
🚶🏾‍♀️,Donna Che Cammina Carnagione Abbastanza Scura,U+1F6B6 U+1F3FE U+200D U+2640 U+FE0F
🚶🏿‍♀️,Donna Che Cammina Carnagione Scura,U+1F6B6 U+1F3FF U+200D U+2640 U+FE0F
🧍,Persona In Piedi,U+1F9CD
🧍🏻,Persona In Piedi Carnagione Chiara,U+1F9CD U+1F3FB
🧍🏼,Persona In Piedi Carnagione Abbastanza Chiara,U+1F9CD U+1F3FC
🧍🏽,Persona In Piedi Carnagione Olivastra,U+1F9CD U+1F3FD
🧍🏾,Persona In Piedi Carnagione Abbastanza Scura,U+1F9CD U+1F3FE
🧍🏿,Persona In Piedi Carnagione Scura,U+1F9CD U+1F3FF
🧍‍♂️,Uomo In Piedi,U+1F9CD U+200D U+2642 U+FE0F
🧍🏻‍♂️,Uomo In Piedi Carnagione Chiara,U+1F9CD U+1F3FB U+200D U+2642 U+FE0F
🧍🏼‍♂️,Uomo In Piedi Carnagione Abbastanza Chiara,U+1F9CD U+1F3FC U+200D U+2642 U+FE0F
🧍🏽‍♂️,Uomo In Piedi Carnagione Olivastra,U+1F9CD U+1F3FD U+200D U+2642 U+FE0F
🧍🏾‍♂️,Uomo In Piedi Carnagione Abbastanza Scura,U+1F9CD U+1F3FE U+200D U+2642 U+FE0F
🧍🏿‍♂️,Uomo In Piedi Carnagione Scura,U+1F9CD U+1F3FF U+200D U+2642 U+FE0F
🧍‍♀️,Donna In Piedi,U+1F9CD U+200D U+2640 U+FE0F
🧍🏻‍♀️,Donna In Piedi Carnagione Chiara,U+1F9CD U+1F3FB U+200D U+2640 U+FE0F
🧍🏼‍♀️,Donna In Piedi Carnagione Abbastanza Chiara,U+1F9CD U+1F3FC U+200D U+2640 U+FE0F
🧍🏽‍♀️,Donna In Piedi Carnagione Olivastra,U+1F9CD U+1F3FD U+200D U+2640 U+FE0F
🧍🏾‍♀️,Donna In Piedi Carnagione Abbastanza Scura,U+1F9CD U+1F3FE U+200D U+2640 U+FE0F
🧍🏿‍♀️,Donna In Piedi Carnagione Scura,U+1F9CD U+1F3FF U+200D U+2640 U+FE0F
🧎,Persona Inginocchiata,U+1F9CE
🧎🏻,Persona Inginocchiata Carnagione Chiara,U+1F9CE U+1F3FB
🧎🏼,Persona Inginocchiata Carnagione Abbastanza Chiara,U+1F9CE U+1F3FC
🧎🏽,Persona Inginocchiata Carnagione Olivastra,U+1F9CE U+1F3FD
🧎🏾,Persona Inginocchiata Carnagione Abbastanza Scura,U+1F9CE U+1F3FE
🧎🏿,Persona Inginocchiata Carnagione Scura,U+1F9CE U+1F3FF
🧎‍♂️,Uomo Inginocchiato,U+1F9CE U+200D U+2642 U+FE0F
🧎🏻‍♂️,Uomo Inginocchiato Carnagione Chiara,U+1F9CE U+1F3FB U+200D U+2642 U+FE0F
🧎🏼‍♂️,Uomo Inginocchiato Carnagione Abbastanza Chiara,U+1F9CE U+1F3FC U+200D U+2642 U+FE0F
🧎🏽‍♂️,Uomo Inginocchiato Carnagione Olivastra,U+1F9CE U+1F3FD U+200D U+2642 U+FE0F
🧎🏾‍♂️,Uomo Inginocchiato Carnagione Abbastanza Scura,U+1F9CE U+1F3FE U+200D U+2642 U+FE0F
🧎🏿‍♂️,Uomo Inginocchiato Carnagione Scura,U+1F9CE U+1F3FF U+200D U+2642 U+FE0F
🧎‍♀️,Donna Inginocchiata,U+1F9CE U+200D U+2640 U+FE0F
🧎🏻‍♀️,Donna Inginocchiata Carnagione Chiara,U+1F9CE U+1F3FB U+200D U+2640 U+FE0F
🧎🏼‍♀️,Donna Inginocchiata Carnagione Abbastanza Chiara,U+1F9CE U+1F3FC U+200D U+2640 U+FE0F
🧎🏽‍♀️,Donna Inginocchiata Carnagione Olivastra,U+1F9CE U+1F3FD U+200D U+2640 U+FE0F
🧎🏾‍♀️,Donna Inginocchiata Carnagione Abbastanza Scura,U+1F9CE U+1F3FE U+200D U+2640 U+FE0F
🧎🏿‍♀️,Donna Inginocchiata Carnagione Scura,U+1F9CE U+1F3FF U+200D U+2640 U+FE0F
🧑‍🦯,Persona Con Bastone Di Orientamento,U+1F9D1 U+200D U+1F9AF
🧑🏻‍🦯,Persona Con Bastone Di Orientamento Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F9AF
🧑🏼‍🦯,Persona Con Bastone Di Orientamento Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F9AF
🧑🏽‍🦯,Persona Con Bastone Di Orientamento Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F9AF
🧑🏾‍🦯,Persona Con Bastone Di Orientamento Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F9AF
🧑🏿‍🦯,Persona Con Bastone Di Orientamento Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F9AF
👨‍🦯,Uomo Con Bastone Bianco Di Orientamento,U+1F468 U+200D U+1F9AF
👨🏻‍🦯,Uomo Con Bastone Bianco Di Orientamento Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F9AF
👨🏼‍🦯,Uomo Con Bastone Bianco Di Orientamento Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F9AF
👨🏽‍🦯,Uomo Con Bastone Bianco Di Orientamento Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F9AF
👨🏾‍🦯,Uomo Con Bastone Bianco Di Orientamento Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F9AF
👨🏿‍🦯,Uomo Con Bastone Bianco Di Orientamento Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F9AF
👩‍🦯,Donna Con Bastone Bianco Di Orientamento,U+1F469 U+200D U+1F9AF
👩🏻‍🦯,Donna Con Bastone Bianco Di Orientamento Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F9AF
👩🏼‍🦯,Donna Con Bastone Bianco Di Orientamento Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F9AF
👩🏽‍🦯,Donna Con Bastone Bianco Di Orientamento Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F9AF
👩🏾‍🦯,Donna Con Bastone Bianco Di Orientamento Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F9AF
👩🏿‍🦯,Donna Con Bastone Bianco Di Orientamento Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F9AF
🧑‍🦼,Persona Su Sedia A Rotelle Motorizzata,U+1F9D1 U+200D U+1F9BC
🧑🏻‍🦼,Persona Su Sedia A Rotelle Motorizzata Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F9BC
🧑🏼‍🦼,Persona Su Sedia A Rotelle Motorizzata Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F9BC
🧑🏽‍🦼,Persona Su Sedia A Rotelle Motorizzata Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F9BC
🧑🏾‍🦼,Persona Su Sedia A Rotelle Motorizzata Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F9BC
🧑🏿‍🦼,Persona Su Sedia A Rotelle Motorizzata Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F9BC
👨‍🦼,Uomo Su Sedia A Rotelle Motorizzata,U+1F468 U+200D U+1F9BC
👨🏻‍🦼,Uomo Su Sedia A Rotelle Motorizzata Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F9BC
👨🏼‍🦼,Uomo Su Sedia A Rotelle Motorizzata Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F9BC
👨🏽‍🦼,Uomo Su Sedia A Rotelle Motorizzata Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F9BC
👨🏾‍🦼,Uomo Su Sedia A Rotelle Motorizzata Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F9BC
👨🏿‍🦼,Uomo Su Sedia A Rotelle Motorizzata Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F9BC
👩‍🦼,Donna Su Sedia A Rotelle Motorizzata,U+1F469 U+200D U+1F9BC
👩🏻‍🦼,Donna Su Sedia A Rotelle Motorizzata Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F9BC
👩🏼‍🦼,Donna Su Sedia A Rotelle Motorizzata Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F9BC
👩🏽‍🦼,Donna Su Sedia A Rotelle Motorizzata Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F9BC
👩🏾‍🦼,Donna Su Sedia A Rotelle Motorizzata Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F9BC
👩🏿‍🦼,Donna Su Sedia A Rotelle Motorizzata Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F9BC
🧑‍🦽,Persona Su Sedia A Rotelle Manuale,U+1F9D1 U+200D U+1F9BD
🧑🏻‍🦽,Persona Su Sedia A Rotelle Manuale Carnagione Chiara,U+1F9D1 U+1F3FB U+200D U+1F9BD
🧑🏼‍🦽,Persona Su Sedia A Rotelle Manuale Carnagione Abbastanza Chiara,U+1F9D1 U+1F3FC U+200D U+1F9BD
🧑🏽‍🦽,Persona Su Sedia A Rotelle Manuale Carnagione Olivastra,U+1F9D1 U+1F3FD U+200D U+1F9BD
🧑🏾‍🦽,Persona Su Sedia A Rotelle Manuale Carnagione Abbastanza Scura,U+1F9D1 U+1F3FE U+200D U+1F9BD
🧑🏿‍🦽,Persona Su Sedia A Rotelle Manuale Carnagione Scura,U+1F9D1 U+1F3FF U+200D U+1F9BD
👨‍🦽,Uomo Su Sedia A Rotelle Manuale,U+1F468 U+200D U+1F9BD
👨🏻‍🦽,Uomo Su Sedia A Rotelle Manuale Carnagione Chiara,U+1F468 U+1F3FB U+200D U+1F9BD
👨🏼‍🦽,Uomo Su Sedia A Rotelle Manuale Carnagione Abbastanza Chiara,U+1F468 U+1F3FC U+200D U+1F9BD
👨🏽‍🦽,Uomo Su Sedia A Rotelle Manuale Carnagione Olivastra,U+1F468 U+1F3FD U+200D U+1F9BD
👨🏾‍🦽,Uomo Su Sedia A Rotelle Manuale Carnagione Abbastanza Scura,U+1F468 U+1F3FE U+200D U+1F9BD
👨🏿‍🦽,Uomo Su Sedia A Rotelle Manuale Carnagione Scura,U+1F468 U+1F3FF U+200D U+1F9BD
👩‍🦽,Donna Su Sedia A Rotelle Manuale,U+1F469 U+200D U+1F9BD
👩🏻‍🦽,Donna Su Sedia A Rotelle Manuale Carnagione Chiara,U+1F469 U+1F3FB U+200D U+1F9BD
👩🏼‍🦽,Donna Su Sedia A Rotelle Manuale Carnagione Abbastanza Chiara,U+1F469 U+1F3FC U+200D U+1F9BD
👩🏽‍🦽,Donna Su Sedia A Rotelle Manuale Carnagione Olivastra,U+1F469 U+1F3FD U+200D U+1F9BD
👩🏾‍🦽,Donna Su Sedia A Rotelle Manuale Carnagione Abbastanza Scura,U+1F469 U+1F3FE U+200D U+1F9BD
👩🏿‍🦽,Donna Su Sedia A Rotelle Manuale Carnagione Scura,U+1F469 U+1F3FF U+200D U+1F9BD
🏃,Persona Che Corre,U+1F3C3
🏃🏻,Persona Che Corre Carnagione Chiara,U+1F3C3 U+1F3FB
🏃🏼,Persona Che Corre Carnagione Abbastanza Chiara,U+1F3C3 U+1F3FC
🏃🏽,Persona Che Corre Carnagione Olivastra,U+1F3C3 U+1F3FD
🏃🏾,Persona Che Corre Carnagione Abbastanza Scura,U+1F3C3 U+1F3FE
🏃🏿,Persona Che Corre Carnagione Scura,U+1F3C3 U+1F3FF
🏃‍♂️,Uomo Che Corre,U+1F3C3 U+200D U+2642 U+FE0F
🏃🏻‍♂️,Uomo Che Corre Carnagione Chiara,U+1F3C3 U+1F3FB U+200D U+2642 U+FE0F
🏃🏼‍♂️,Uomo Che Corre Carnagione Abbastanza Chiara,U+1F3C3 U+1F3FC U+200D U+2642 U+FE0F
🏃🏽‍♂️,Uomo Che Corre Carnagione Olivastra,U+1F3C3 U+1F3FD U+200D U+2642 U+FE0F
🏃🏾‍♂️,Uomo Che Corre Carnagione Abbastanza Scura,U+1F3C3 U+1F3FE U+200D U+2642 U+FE0F
🏃🏿‍♂️,Uomo Che Corre Carnagione Scura,U+1F3C3 U+1F3FF U+200D U+2642 U+FE0F
🏃‍♀️,Donna Che Corre,U+1F3C3 U+200D U+2640 U+FE0F
🏃🏻‍♀️,Donna Che Corre Carnagione Chiara,U+1F3C3 U+1F3FB U+200D U+2640 U+FE0F
🏃🏼‍♀️,Donna Che Corre Carnagione Abbastanza Chiara,U+1F3C3 U+1F3FC U+200D U+2640 U+FE0F
🏃🏽‍♀️,Donna Che Corre Carnagione Olivastra,U+1F3C3 U+1F3FD U+200D U+2640 U+FE0F
🏃🏾‍♀️,Donna Che Corre Carnagione Abbastanza Scura,U+1F3C3 U+1F3FE U+200D U+2640 U+FE0F
🏃🏿‍♀️,Donna Che Corre Carnagione Scura,U+1F3C3 U+1F3FF U+200D U+2640 U+FE0F
💃,Donna Che Balla,U+1F483
💃🏻,Donna Che Balla Carnagione Chiara,U+1F483 U+1F3FB
💃🏼,Donna Che Balla Carnagione Abbastanza Chiara,U+1F483 U+1F3FC
💃🏽,Donna Che Balla Carnagione Olivastra,U+1F483 U+1F3FD
💃🏾,Donna Che Balla Carnagione Abbastanza Scura,U+1F483 U+1F3FE
💃🏿,Donna Che Balla Carnagione Scura,U+1F483 U+1F3FF
🕺,Uomo Che Balla,U+1F57A
🕺🏻,Uomo Che Balla Carnagione Chiara,U+1F57A U+1F3FB
🕺🏼,Uomo Che Balla Carnagione Abbastanza Chiara,U+1F57A U+1F3FC
🕺🏽,Uomo Che Balla Carnagione Olivastra,U+1F57A U+1F3FD
🕺🏾,Uomo Che Balla Carnagione Abbastanza Scura,U+1F57A U+1F3FE
🕺🏿,Uomo Che Balla Carnagione Scura,U+1F57A U+1F3FF
🕴️,Uomo Con Completo Che Levita,U+1F574 U+FE0F
🕴🏻,Uomo Con Completo Che Levita Carnagione Chiara,U+1F574 U+1F3FB
🕴🏼,Uomo Con Completo Che Levita Carnagione Abbastanza Chiara,U+1F574 U+1F3FC
🕴🏽,Uomo Con Completo Che Levita Carnagione Olivastra,U+1F574 U+1F3FD
🕴🏾,Uomo Con Completo Che Levita Carnagione Abbastanza Scura,U+1F574 U+1F3FE
🕴🏿,Uomo Con Completo Che Levita Carnagione Scura,U+1F574 U+1F3FF
👯,Persone Con Orecchie Da Coniglio,U+1F46F
👯‍♂️,Uomini Con Orecchie Da Coniglio,U+1F46F U+200D U+2642 U+FE0F
👯‍♀️,Donne Con Orecchie Da Coniglio,U+1F46F U+200D U+2640 U+FE0F
🧖,Persona In Sauna,U+1F9D6
🧖🏻,Persona In Sauna Carnagione Chiara,U+1F9D6 U+1F3FB
🧖🏼,Persona In Sauna Carnagione Abbastanza Chiara,U+1F9D6 U+1F3FC
🧖🏽,Persona In Sauna Carnagione Olivastra,U+1F9D6 U+1F3FD
🧖🏾,Persona In Sauna Carnagione Abbastanza Scura,U+1F9D6 U+1F3FE
🧖🏿,Persona In Sauna Carnagione Scura,U+1F9D6 U+1F3FF
🧖‍♂️,Uomo In Sauna,U+1F9D6 U+200D U+2642 U+FE0F
🧖🏻‍♂️,Uomo In Sauna Carnagione Chiara,U+1F9D6 U+1F3FB U+200D U+2642 U+FE0F
🧖🏼‍♂️,Uomo In Sauna Carnagione Abbastanza Chiara,U+1F9D6 U+1F3FC U+200D U+2642 U+FE0F
🧖🏽‍♂️,Uomo In Sauna Carnagione Olivastra,U+1F9D6 U+1F3FD U+200D U+2642 U+FE0F
🧖🏾‍♂️,Uomo In Sauna Carnagione Abbastanza Scura,U+1F9D6 U+1F3FE U+200D U+2642 U+FE0F
🧖🏿‍♂️,Uomo In Sauna Carnagione Scura,U+1F9D6 U+1F3FF U+200D U+2642 U+FE0F
🧖‍♀️,Donna In Sauna,U+1F9D6 U+200D U+2640 U+FE0F
🧖🏻‍♀️,Donna In Sauna Carnagione Chiara,U+1F9D6 U+1F3FB U+200D U+2640 U+FE0F
🧖🏼‍♀️,Donna In Sauna Carnagione Abbastanza Chiara,U+1F9D6 U+1F3FC U+200D U+2640 U+FE0F
🧖🏽‍♀️,Donna In Sauna Carnagione Olivastra,U+1F9D6 U+1F3FD U+200D U+2640 U+FE0F
🧖🏾‍♀️,Donna In Sauna Carnagione Abbastanza Scura,U+1F9D6 U+1F3FE U+200D U+2640 U+FE0F
🧖🏿‍♀️,Donna In Sauna Carnagione Scura,U+1F9D6 U+1F3FF U+200D U+2640 U+FE0F
🧗,Persona Che Scala,U+1F9D7
🧗🏻,Persona Che Scala Carnagione Chiara,U+1F9D7 U+1F3FB
🧗🏼,Persona Che Scala Carnagione Abbastanza Chiara,U+1F9D7 U+1F3FC
🧗🏽,Persona Che Scala Carnagione Olivastra,U+1F9D7 U+1F3FD
🧗🏾,Persona Che Scala Carnagione Abbastanza Scura,U+1F9D7 U+1F3FE
🧗🏿,Persona Che Scala Carnagione Scura,U+1F9D7 U+1F3FF
🧗‍♂️,Scalatore,U+1F9D7 U+200D U+2642 U+FE0F
🧗🏻‍♂️,Scalatore Carnagione Chiara,U+1F9D7 U+1F3FB U+200D U+2642 U+FE0F
🧗🏼‍♂️,Scalatore Carnagione Abbastanza Chiara,U+1F9D7 U+1F3FC U+200D U+2642 U+FE0F
🧗🏽‍♂️,Scalatore Carnagione Olivastra,U+1F9D7 U+1F3FD U+200D U+2642 U+FE0F
🧗🏾‍♂️,Scalatore Carnagione Abbastanza Scura,U+1F9D7 U+1F3FE U+200D U+2642 U+FE0F
🧗🏿‍♂️,Scalatore Carnagione Scura,U+1F9D7 U+1F3FF U+200D U+2642 U+FE0F
🧗‍♀️,Scalatrice,U+1F9D7 U+200D U+2640 U+FE0F
🧗🏻‍♀️,Scalatrice Carnagione Chiara,U+1F9D7 U+1F3FB U+200D U+2640 U+FE0F
🧗🏼‍♀️,Scalatrice Carnagione Abbastanza Chiara,U+1F9D7 U+1F3FC U+200D U+2640 U+FE0F
🧗🏽‍♀️,Scalatrice Carnagione Olivastra,U+1F9D7 U+1F3FD U+200D U+2640 U+FE0F
🧗🏾‍♀️,Scalatrice Carnagione Abbastanza Scura,U+1F9D7 U+1F3FE U+200D U+2640 U+FE0F
🧗🏿‍♀️,Scalatrice Carnagione Scura,U+1F9D7 U+1F3FF U+200D U+2640 U+FE0F
🤺,Schermidore,U+1F93A
🏇,Ippica,U+1F3C7
🏇🏻,Ippica Carnagione Chiara,U+1F3C7 U+1F3FB
🏇🏼,Ippica Carnagione Abbastanza Chiara,U+1F3C7 U+1F3FC
🏇🏽,Ippica Carnagione Olivastra,U+1F3C7 U+1F3FD
🏇🏾,Ippica Carnagione Abbastanza Scura,U+1F3C7 U+1F3FE
🏇🏿,Ippica Carnagione Scura,U+1F3C7 U+1F3FF
⛷️,Sciatore,U+26F7 U+FE0F
🏂,Persona Sullo Snowboard,U+1F3C2
🏂🏻,Persona Sullo Snowboard Carnagione Chiara,U+1F3C2 U+1F3FB
🏂🏼,Persona Sullo Snowboard Carnagione Abbastanza Chiara,U+1F3C2 U+1F3FC
🏂🏽,Persona Sullo Snowboard Carnagione Olivastra,U+1F3C2 U+1F3FD
🏂🏾,Persona Sullo Snowboard Carnagione Abbastanza Scura,U+1F3C2 U+1F3FE
🏂🏿,Persona Sullo Snowboard Carnagione Scura,U+1F3C2 U+1F3FF
🏌️,Persona Che Gioca A Golf,U+1F3CC U+FE0F
🏌🏻,Persona Che Gioca A Golf Carnagione Chiara,U+1F3CC U+1F3FB
🏌🏼,Persona Che Gioca A Golf Carnagione Abbastanza Chiara,U+1F3CC U+1F3FC
🏌🏽,Persona Che Gioca A Golf Carnagione Olivastra,U+1F3CC U+1F3FD
🏌🏾,Persona Che Gioca A Golf Carnagione Abbastanza Scura,U+1F3CC U+1F3FE
🏌🏿,Persona Che Gioca A Golf Carnagione Scura,U+1F3CC U+1F3FF
🏌️‍♂️,Golfista Uomo,U+1F3CC U+FE0F U+200D U+2642 U+FE0F
🏌🏻‍♂️,Golfista Uomo Carnagione Chiara,U+1F3CC U+1F3FB U+200D U+2642 U+FE0F
🏌🏼‍♂️,Golfista Uomo Carnagione Abbastanza Chiara,U+1F3CC U+1F3FC U+200D U+2642 U+FE0F
🏌🏽‍♂️,Golfista Uomo Carnagione Olivastra,U+1F3CC U+1F3FD U+200D U+2642 U+FE0F
🏌🏾‍♂️,Golfista Uomo Carnagione Abbastanza Scura,U+1F3CC U+1F3FE U+200D U+2642 U+FE0F
🏌🏿‍♂️,Golfista Uomo Carnagione Scura,U+1F3CC U+1F3FF U+200D U+2642 U+FE0F
🏌️‍♀️,Golfista Donna,U+1F3CC U+FE0F U+200D U+2640 U+FE0F
🏌🏻‍♀️,Golfista Donna Carnagione Chiara,U+1F3CC U+1F3FB U+200D U+2640 U+FE0F
🏌🏼‍♀️,Golfista Donna Carnagione Abbastanza Chiara,U+1F3CC U+1F3FC U+200D U+2640 U+FE0F
🏌🏽‍♀️,Golfista Donna Carnagione Olivastra,U+1F3CC U+1F3FD U+200D U+2640 U+FE0F
🏌🏾‍♀️,Golfista Donna Carnagione Abbastanza Scura,U+1F3CC U+1F3FE U+200D U+2640 U+FE0F
🏌🏿‍♀️,Golfista Donna Carnagione Scura,U+1F3CC U+1F3FF U+200D U+2640 U+FE0F
🏄,Persona Che Fa Surf,U+1F3C4
🏄🏻,Persona Che Fa Surf Carnagione Chiara,U+1F3C4 U+1F3FB
🏄🏼,Persona Che Fa Surf Carnagione Abbastanza Chiara,U+1F3C4 U+1F3FC
🏄🏽,Persona Che Fa Surf Carnagione Olivastra,U+1F3C4 U+1F3FD
🏄🏾,Persona Che Fa Surf Carnagione Abbastanza Scura,U+1F3C4 U+1F3FE
🏄🏿,Persona Che Fa Surf Carnagione Scura,U+1F3C4 U+1F3FF
🏄‍♂️,Surfista Uomo,U+1F3C4 U+200D U+2642 U+FE0F
🏄🏻‍♂️,Surfista Uomo Carnagione Chiara,U+1F3C4 U+1F3FB U+200D U+2642 U+FE0F
🏄🏼‍♂️,Surfista Uomo Carnagione Abbastanza Chiara,U+1F3C4 U+1F3FC U+200D U+2642 U+FE0F
🏄🏽‍♂️,Surfista Uomo Carnagione Olivastra,U+1F3C4 U+1F3FD U+200D U+2642 U+FE0F
🏄🏾‍♂️,Surfista Uomo Carnagione Abbastanza Scura,U+1F3C4 U+1F3FE U+200D U+2642 U+FE0F
🏄🏿‍♂️,Surfista Uomo Carnagione Scura,U+1F3C4 U+1F3FF U+200D U+2642 U+FE0F
🏄‍♀️,Surfista Donna,U+1F3C4 U+200D U+2640 U+FE0F
🏄🏻‍♀️,Surfista Donna Carnagione Chiara,U+1F3C4 U+1F3FB U+200D U+2640 U+FE0F
🏄🏼‍♀️,Surfista Donna Carnagione Abbastanza Chiara,U+1F3C4 U+1F3FC U+200D U+2640 U+FE0F
🏄🏽‍♀️,Surfista Donna Carnagione Olivastra,U+1F3C4 U+1F3FD U+200D U+2640 U+FE0F
🏄🏾‍♀️,Surfista Donna Carnagione Abbastanza Scura,U+1F3C4 U+1F3FE U+200D U+2640 U+FE0F
🏄🏿‍♀️,Surfista Donna Carnagione Scura,U+1F3C4 U+1F3FF U+200D U+2640 U+FE0F
🚣,Persona In Barca A Remi,U+1F6A3
🚣🏻,Persona In Barca A Remi Carnagione Chiara,U+1F6A3 U+1F3FB
🚣🏼,Persona In Barca A Remi Carnagione Abbastanza Chiara,U+1F6A3 U+1F3FC
🚣🏽,Persona In Barca A Remi Carnagione Olivastra,U+1F6A3 U+1F3FD
🚣🏾,Persona In Barca A Remi Carnagione Abbastanza Scura,U+1F6A3 U+1F3FE
🚣🏿,Persona In Barca A Remi Carnagione Scura,U+1F6A3 U+1F3FF
🚣‍♂️,Uomo In Barca A Remi,U+1F6A3 U+200D U+2642 U+FE0F
🚣🏻‍♂️,Uomo In Barca A Remi Carnagione Chiara,U+1F6A3 U+1F3FB U+200D U+2642 U+FE0F
🚣🏼‍♂️,Uomo In Barca A Remi Carnagione Abbastanza Chiara,U+1F6A3 U+1F3FC U+200D U+2642 U+FE0F
🚣🏽‍♂️,Uomo In Barca A Remi Carnagione Olivastra,U+1F6A3 U+1F3FD U+200D U+2642 U+FE0F
🚣🏾‍♂️,Uomo In Barca A Remi Carnagione Abbastanza Scura,U+1F6A3 U+1F3FE U+200D U+2642 U+FE0F
🚣🏿‍♂️,Uomo In Barca A Remi Carnagione Scura,U+1F6A3 U+1F3FF U+200D U+2642 U+FE0F
🚣‍♀️,Donna In Barca A Remi,U+1F6A3 U+200D U+2640 U+FE0F
🚣🏻‍♀️,Donna In Barca A Remi Carnagione Chiara,U+1F6A3 U+1F3FB U+200D U+2640 U+FE0F
🚣🏼‍♀️,Donna In Barca A Remi Carnagione Abbastanza Chiara,U+1F6A3 U+1F3FC U+200D U+2640 U+FE0F
🚣🏽‍♀️,Donna In Barca A Remi Carnagione Olivastra,U+1F6A3 U+1F3FD U+200D U+2640 U+FE0F
🚣🏾‍♀️,Donna In Barca A Remi Carnagione Abbastanza Scura,U+1F6A3 U+1F3FE U+200D U+2640 U+FE0F
